sampleID	isIncluded	subjectID	measurementID	perturbID	exptblock	intv
1	1	1	0	0	1	0
2	1	1	1	0	1	0
3	1	1	3	0	1	0
4	1	1	5	0	1	0
5	1	1	8	0	1	0
6	1	1	13	0	1	0
7	1	1	19	0	1	0
8	1	1	25	0	1	0
9	1	1	31	0	1	0
10	1	2	0	0	1	0
11	1	2	1	0	1	0
12	1	2	3	0	1	0
13	1	2	5	0	1	0
14	1	2	8	0	1	0
15	1	2	13	0	1	0
16	1	2	19	0	1	0
17	1	2	25	0	1	0
18	1	2	31	0	1	0
19	1	3	0	0	1	0
20	1	3	1	0	1	0
21	1	3	3	0	1	0
22	1	3	5	0	1	0
23	1	3	8	0	1	0
24	1	3	13	0	1	0
25	1	3	19	0	1	0
26	1	3	25	0	1	0
27	1	3	31	0	1	0
28	1	4	0	0	1	0
29	1	4	1	0	1	0
30	1	4	3	0	1	0
31	1	4	5	0	1	0
32	1	4	8	0	1	0
33	1	4	13	0	1	0
34	1	4	19	0	1	0
35	1	4	25	0	1	0
36	1	4	31	0	1	0
37	1	5	0	0	1	0
38	1	5	1	0	1	0
39	1	5	3	0	1	0
40	1	5	5	0	1	0
41	1	5	8	0	1	0
42	1	5	13	0	1	0
43	1	5	19	0	1	0
44	1	5	25	0	1	0
45	1	5	31	0	1	0
46	1	6	0	0	1	0
47	1	6	1	0	1	0
48	1	6	3	0	1	0
49	1	6	5	0	1	0
50	1	6	8	0	1	0
51	1	6	13	0	1	0
52	1	6	19	0	1	0
53	1	6	25	0	1	0
54	1	6	31	0	1	0
55	1	7	0	0	1	0
56	1	7	1	0	1	0
57	1	7	3	0	1	0
58	1	7	5	0	1	0
59	1	7	8	0	1	0
60	1	7	13	0	1	0
61	1	7	19	0	1	0
62	1	7	25	0	1	0
63	1	7	31	0	1	0
64	1	8	0	0	1	0
65	1	8	1	0	1	0
66	1	8	3	0	1	0
67	1	8	5	0	1	0
68	1	8	8	0	1	0
69	1	8	13	0	1	0
70	1	8	19	0	1	0
71	1	8	25	0	1	0
72	1	8	31	0	1	0
73	1	9	0	0	1	0
74	1	9	1	0	1	0
75	1	9	3	0	1	0
76	1	9	5	0	1	0
77	1	9	8	0	1	0
78	1	9	13	0	1	0
79	1	9	19	0	1	0
80	1	9	25	0	1	0
81	1	9	31	0	1	0
82	1	10	0	0	1	0
83	1	10	1	0	1	0
84	1	10	3	0	1	0
85	1	10	5	0	1	0
86	1	10	8	0	1	0
87	1	10	13	0	1	0
88	1	10	19	0	1	0
89	1	10	25	0	1	0
90	1	10	31	0	1	0
91	1	11	0	0	1	0
92	1	11	1	0	1	0
93	1	11	3	0	1	0
94	1	11	5	0	1	0
95	1	11	8	0	1	0
96	1	11	13	0	1	0
97	1	11	19	0	1	0
98	1	11	25	0	1	0
99	1	11	31	0	1	0
100	1	12	0	0	1	0
101	1	12	1	0	1	0
102	1	12	3	0	1	0
103	1	12	5	0	1	0
104	1	12	8	0	1	0
105	1	12	13	0	1	0
106	1	12	19	0	1	0
107	1	12	25	0	1	0
108	1	12	31	0	1	0
109	1	13	0	0	1	0
110	1	13	1	0	1	0
111	1	13	3	0	1	0
112	1	13	5	0	1	0
113	1	13	8	0	1	0
114	1	13	13	0	1	0
115	1	13	19	0	1	0
116	1	13	25	0	1	0
117	1	13	31	0	1	0
118	1	14	0	0	1	0
119	1	14	1	0	1	0
120	1	14	3	0	1	0
121	1	14	5	0	1	0
122	1	14	8	0	1	0
123	1	14	13	0	1	0
124	1	14	19	0	1	0
125	1	14	25	0	1	0
126	1	14	31	0	1	0
127	1	15	0	0	1	0
128	1	15	1	0	1	0
129	1	15	3	0	1	0
130	1	15	5	0	1	0
131	1	15	8	0	1	0
132	1	15	13	0	1	0
133	1	15	19	0	1	0
134	1	15	25	0	1	0
135	1	15	31	0	1	0
136	1	16	0	0	1	0
137	1	16	1	0	1	0
138	1	16	3	0	1	0
139	1	16	5	0	1	0
140	1	16	8	0	1	0
141	1	16	13	0	1	0
142	1	16	19	0	1	0
143	1	16	25	0	1	0
144	1	16	31	0	1	0
145	1	17	0	0	1	0
146	1	17	1	0	1	0
147	1	17	3	0	1	0
148	1	17	5	0	1	0
149	1	17	8	0	1	0
150	1	17	13	0	1	0
151	1	17	19	0	1	0
152	1	17	25	0	1	0
153	1	17	31	0	1	0
154	1	18	0	0	1	0
155	1	18	1	0	1	0
156	1	18	3	0	1	0
157	1	18	5	0	1	0
158	1	18	8	0	1	0
159	1	18	13	0	1	0
160	1	18	19	0	1	0
161	1	18	25	0	1	0
162	1	18	31	0	1	0
163	1	19	0	0	1	0
164	1	19	1	0	1	0
165	1	19	3	0	1	0
166	1	19	5	0	1	0
167	1	19	8	0	1	0
168	1	19	13	0	1	0
169	1	19	19	0	1	0
170	1	19	25	0	1	0
171	1	19	31	0	1	0
172	1	20	0	0	1	0
173	1	20	1	0	1	0
174	1	20	3	0	1	0
175	1	20	5	0	1	0
176	1	20	8	0	1	0
177	1	20	13	0	1	0
178	1	20	19	0	1	0
179	1	20	25	0	1	0
180	1	20	31	0	1	0
